id,updated_at,name,lat,long,nb_bikes,nb_empty_docks,installed,locked,temporary
562,2013-07-01T03:40:39-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T03:50:24-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T04:00:07-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T04:10:25-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T04:20:25-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T04:30:11-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T04:40:31-0700,Bury Place,51.51746,-0.12335,21,0,true,false,false
562,2013-07-01T04:50:26-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T04:59:27-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T05:10:28-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T05:20:25-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T05:30:10-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T05:40:26-0700,Bury Place,51.51746,-0.12335,21,0,true,false,false
562,2013-07-01T05:50:24-0700,Bury Place,51.51746,-0.12335,21,0,true,false,false
562,2013-07-01T06:00:08-0700,Bury Place,51.51746,-0.12335,21,0,true,false,false
562,2013-07-01T06:10:39-0700,Bury Place,51.51746,-0.12335,21,0,true,false,false
562,2013-07-01T06:20:25-0700,Bury Place,51.51746,-0.12335,21,0,true,false,false
562,2013-07-01T06:30:14-0700,Bury Place,51.51746,-0.12335,21,0,true,false,false
562,2013-07-01T06:40:26-0700,Bury Place,51.51746,-0.12335,21,0,true,false,false
562,2013-07-01T06:50:29-0700,Bury Place,51.51746,-0.12335,21,0,true,false,false
562,2013-07-01T07:00:41-0700,Bury Place,51.51746,-0.12335,21,0,true,false,false
562,2013-07-01T07:10:28-0700,Bury Place,51.51746,-0.12335,21,0,true,false,false
562,2013-07-01T07:20:27-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T07:30:31-0700,Bury Place,51.51746,-0.12335,19,2,true,false,false
562,2013-07-01T07:40:27-0700,Bury Place,51.51746,-0.12335,19,2,true,false,false
562,2013-07-01T07:50:28-0700,Bury Place,51.51746,-0.12335,19,2,true,false,false
562,2013-07-01T08:00:08-0700,Bury Place,51.51746,-0.12335,19,2,true,false,false
562,2013-07-01T08:10:31-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T08:20:44-0700,Bury Place,51.51746,-0.12335,20,1,true,false,false
562,2013-07-01T08:30:21-0700,Bury Place,51.51746,-0.12335,19,2,true,false,false
562,2013-07-01T08:40:30-0700,Bury Place,51.51746,-0.12335,19,2,true,false,false
562,2013-07-01T08:50:25-0700,Bury Place,51.51746,-0.12335,19,2,true,false,false
562,2013-07-01T08:59:31-0700,Bury Place,51.51746,-0.12335,19,2,true,false,false
562,2013-07-01T09:10:26-0700,Bury Place,51.51746,-0.12335,18,3,true,false,false
562,2013-07-01T09:20:25-0700,Bury Place,51.51746,-0.12335,17,4,true,false,false
562,2013-07-01T09:30:06-0700,Bury Place,51.51746,-0.12335,16,5,true,false,false
562,2013-07-01T09:40:24-0700,Bury Place,51.51746,-0.12335,13,8,true,false,false
562,2013-07-01T09:50:23-0700,Bury Place,51.51746,-0.12335,11,10,true,false,false
562,2013-07-01T10:00:06-0700,Bury Place,51.51746,-0.12335,10,11,true,false,false
562,2013-07-01T10:10:30-0700,Bury Place,51.51746,-0.12335,7,14,true,false,false
562,2013-07-01T10:20:29-0700,Bury Place,51.51746,-0.12335,8,13,true,false,false
562,2013-07-01T10:30:07-0700,Bury Place,51.51746,-0.12335,6,15,true,false,false
562,2013-07-01T10:40:34-0700,Bury Place,51.51746,-0.12335,1,20,true,false,false
562,2013-07-01T10:50:23-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T11:00:07-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T11:10:51-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T11:20:47-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T11:30:06-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T11:40:23-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T11:50:37-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
562,2013-07-01T12:00:36-0700,Bury Place,51.51746,-0.12335,0,21,true,false,false
